Player,No. of Wickets,Bowling Average,Average ECON,Average Strike Rate,Total Five Wicket Hauls,Average Balls,Total Overs
Neil Johnson,12,20.14,4.89,25.86,0,42.86,50.0
Neil Smith,4,16.56,3.81,22.33,0,51.0,25.3
Nicholas Ifill,0,0.0,7.83,0.0,0,24.0,12.0
Nicholas de Groot,3,14.5,6.77,12.0,0,27.0,13.3
Nick Dyer,5,27.5,4.45,35.0,0,52.0,26.0
Nicky Boje,1,8.8,7.35,10.8,0,26.4,22.0
Nikhil Chopra,1,33.0,3.3,60.0,0,60.0,10.0
Nikita Miller,1,16.0,5.77,13.0,0,39.0,19.3
Nixon McLean,0,0.0,6.33,0.0,0,36.0,6.0
Noor Ahmad,5,7.96,4.77,11.75,0,57.0,38.0
Norman Cowans,2,15.5,2.58,36.0,0,72.0,12.0
Nuwan Kulasekara,9,11.55,5.24,15.45,0,41.09,75.2
Nuwan Pradeep,5,15.25,5.35,24.5,0,58.0,29.0
Omar Henry,1,31.0,3.1,60.0,0,60.0,10.0
Oshane Thomas,9,21.25,6.09,19.61,0,38.78,57.7
Ottis Gibson,1,9.0,5.09,18.0,0,39.33,19.4
Parbhu Nana,1,11.33,4.7,24.0,0,57.67,28.5
Parth Desai,0,0.0,6.66,0.0,0,18.0,3.0
Pat Cummins,34,21.28,5.36,23.72,0,49.26,187.7
Pat Symcox,6,15.5,3.73,22.5,0,60.0,40.0
Patrick Patterson,15,21.05,4.26,31.43,0,56.57,66.0
Paul Adams,3,32.25,4.91,42.0,0,54.0,18.0
Paul Allott,8,37.24,4.15,52.62,0,69.0,79.9
Paul Collingwood,8,17.82,5.11,20.79,0,36.43,85.0
Paul Hoffmann,1,19.0,6.4,20.0,0,34.0,17.0
Paul Mooney,0,0.0,11.42,0.0,0,21.0,3.3
Paul Reiffel,12,28.39,4.46,37.0,0,50.73,93.0
Paul Stirling,6,10.75,5.49,15.0,0,40.08,80.1
Paul Strang,15,12.25,4.73,16.26,1,47.27,86.0
Paul van Meekeren,12,31.25,5.97,29.89,0,49.56,74.2
Paul-Jan Bakker,3,14.3,4.84,15.6,0,51.6,43.0
Pedro Collins,2,29.67,5.73,32.0,0,52.0,26.0
Pervez Mir,2,29.5,3.75,45.0,0,45.0,15.0
Peter Borren,4,40.4,6.54,37.2,0,43.2,36.0
Peter Cantrell,3,22.8,5.66,21.6,0,37.2,31.0
Peter Kirsten,5,14.33,5.83,20.5,0,27.0,18.0
Peter Lever,5,15.92,2.71,39.0,0,54.0,36.0
Peter Martin,6,13.8,4.64,17.2,0,52.8,44.0
Peter Ongondo,9,17.07,5.19,21.43,0,39.57,92.2
Peter Rawson,12,14.47,4.55,18.35,0,57.1,95.1
Peter Taylor,6,12.75,4.76,16.38,0,35.75,47.4
Phil DeFreitas,29,21.14,4.2,33.95,0,51.23,187.1
Phil Edmonds,3,15.0,2.75,34.0,0,52.0,26.0
Phil Simmons,8,23.19,3.42,34.12,0,44.25,59.0
Phil Tufnell,3,17.5,4.9,21.0,0,42.0,28.0
Pieter Seelaar,8,23.61,5.13,26.33,0,59.67,59.4
Piyush Chawla,4,19.67,6.27,20.0,0,56.0,28.0
Pommie Mbangwa,2,4.67,4.04,7.0,0,46.0,23.0
Prabath Nissanka,4,0.75,4.6,2.62,0,37.5,25.0
Pramodya Wickramasinghe,16,14.6,4.64,20.56,0,51.06,136.1
Prosper Utseya,6,19.56,4.26,26.33,0,50.0,75.0
Pulasthi Gunaratne,4,4.75,5.97,6.0,0,38.0,38.0
Rachin Ravindra,5,18.5,6.24,19.22,0,43.78,65.4
Rahat Ali,7,20.87,4.53,33.2,0,52.8,44.0
Rahmat Shah,1,4.4,7.42,6.0,0,16.8,14.0
Rajab Ali,10,7.0,4.75,13.45,0,41.33,41.2
Ramesh Sethi,1,17.0,4.97,20.0,0,40.0,20.0
Ramnaresh Sarwan,2,9.5,5.59,12.0,0,19.5,13.0
Rangana Herath,6,23.86,4.46,33.29,0,54.71,63.5
Ranjan Gunatilleke,0,0.0,3.77,0.0,0,54.0,9.0
Rashid Khan,25,21.33,4.73,29.94,0,57.33,228.8
Ravi Bopara,6,6.86,4.56,11.0,0,31.43,36.4
Ravi Rampaul,5,5.1,5.35,6.0,1,45.0,15.0
Ravi Ratnayeke,10,26.7,5.85,26.33,0,54.0,54.0
Ravi Shastri,12,23.1,4.85,35.53,0,46.25,92.3
Ravichandran Ashwin,18,28.67,4.29,37.0,0,58.36,107.0
Ravindra Jadeja,27,16.97,4.65,23.78,1,51.48,179.3
Ravindra Pushpakumara,1,26.5,6.6,24.0,0,45.0,15.0
Ray Price,9,19.14,3.36,29.17,0,49.0,49.0
Reece Topley,8,30.69,6.71,28.56,0,55.33,27.0
Reon King,8,14.0,3.65,28.62,0,47.25,31.3
Ricardo Powell,1,2.67,8.33,8.0,0,14.0,7.0
Richard Collinge,6,13.46,2.85,33.0,0,72.0,48.0
Richard Hadlee,22,24.8,2.86,47.25,1,67.46,146.1
Richard Illingworth,12,27.4,4.32,37.83,0,58.9,98.1
Richard Snell,8,17.33,4.49,19.41,0,48.56,72.5
Richie Berrington,7,17.12,6.65,15.88,0,34.75,23.1
Richie Richardson,0,0.0,6.0,0.0,0,24.0,4.0
Rilee Rossouw,0,0.0,6.5,0.0,0,12.0,2.0
Rizwan Cheema,6,21.58,6.79,24.5,0,40.83,40.5
Rob Taylor,2,25.0,5.72,30.0,0,38.0,19.0
Robert Callender,1,7.0,3.17,18.0,0,27.0,9.0
Robert Croft,1,16.0,4.85,30.0,0,36.0,12.0
Robert Kennedy,4,23.33,4.44,32.0,0,42.0,21.0
Robin Peterson,16,14.6,4.24,18.05,0,44.4,74.0
Robin Singh,8,9.12,5.09,9.4,1,32.5,32.3
Rod Latham,1,5.0,7.24,6.86,0,19.71,23.0
Rodney Hogg,10,21.08,4.43,39.75,0,58.5,78.0
Roelof van der Merwe,6,15.62,5.86,18.0,0,42.0,56.0
Roger Binny,19,24.94,4.07,37.33,0,63.33,95.0
Roger Harper,18,26.2,3.87,40.0,0,56.57,132.0
Roger Twose,0,0.0,6.55,0.0,0,26.0,13.0
Rohan Mustafa,0,0.0,8.17,0.0,0,24.0,12.0
Rohit Sharma,1,3.5,7.7,2.5,0,11.5,3.5
Roland Lefebvre,7,18.78,3.59,32.0,0,50.0,75.0
Ronnie Irani,3,5.0,4.21,8.0,0,42.0,14.0
Rubel Hossain,14,24.35,6.28,27.3,0,45.93,106.7
Rudi van Vuuren,8,19.62,5.96,20.4,1,60.0,50.0
Rumesh Ratnayake,12,35.44,5.09,41.0,0,59.33,89.0
Russel Arnold,6,4.74,5.38,5.33,0,22.44,33.4
Ruwan Kalpage,4,15.92,5.12,23.0,0,50.0,50.0
Ryan Klein,0,0.0,5.85,0.0,0,42.0,7.0
Ryan ten Doeschate,9,24.5,6.44,21.56,0,48.0,72.0
Sabbir Rahman,1,9.4,6.14,8.4,0,19.2,16.0
Sachin Tendulkar,8,5.76,5.06,7.92,0,28.8,120.0
Sachithra Senanayake,0,0.0,6.55,0.0,0,54.0,9.0
Sadiq Mohammad,2,10.0,3.33,18.0,0,36.0,6.0
Saeed Ajmal,5,20.67,3.51,34.0,0,52.0,26.0
Saeed Anwar,1,15.0,3.75,24.0,0,24.0,4.0
Saeed-al-Saffar,0,0.0,8.33,0.0,0,18.0,3.0
Sajid Mahmood,8,10.08,5.85,14.03,0,48.0,47.599999999999994
Saleem Jaffar,5,6.2,5.7,9.8,0,47.6,39.4
Saleem Malik,4,5.79,5.01,6.75,0,28.0,56.0
Saleem Mukuddem,5,15.66,4.4,20.0,0,45.0,15.0
Saleem Raza,1,12.0,4.9,13.5,0,33.0,22.0
Salil Ankola,0,0.0,5.6,0.0,0,30.0,5.0
Salman Agha,0,0.0,9.41,0.0,0,15.0,5.0
Sam Curran,2,31.33,8.58,26.67,0,34.67,17.2
Samiullah Shinwari,0,0.0,5.39,0.0,0,25.17,25.1
Sanath Jayasuriya,27,15.73,5.25,20.94,0,42.42,218.3
Sandeep Patil,0,0.0,7.17,0.0,0,27.0,9.0
Sanjayan Thuraisingam,4,27.5,6.4,27.33,0,37.33,18.4
Sanuar Hossain,5,7.33,6.0,12.5,0,36.0,24.0
Saqib Zulfiqar,1,12.5,7.92,9.0,0,15.0,5.0
Saqlain Mushtaq,23,18.59,4.26,25.86,1,48.14,111.8
Sarel Burger,0,0.0,6.17,0.0,0,33.0,11.0
Sarfraz Nawaz,16,24.18,3.62,33.5,0,64.91,118.6
Sayed Shirzad,1,56.0,7.0,48.0,0,48.0,8.0
Scott Styris,17,13.39,5.11,18.1,0,34.38,119.8
Sean Abbott,2,30.5,6.1,30.0,0,60.0,10.0
Sean Ervine,3,29.0,7.22,24.0,0,24.0,12.0
Sean Williams,9,11.95,5.68,13.09,0,38.73,71.0
Seekkuge Prasanna,1,38.5,7.41,30.0,0,54.0,18.0
Shadab Khan,11,24.06,5.94,26.64,0,52.36,96.0
Shafiuddin Ahmed,1,26.0,3.25,48.0,0,48.0,8.0
Shafiul Islam,6,19.54,5.62,17.0,0,39.33,39.2
Shahadat Hossain,0,0.0,5.66,0.0,0,54.0,9.0
Shaheen Shah Afridi,34,26.03,5.58,26.87,2,54.93,128.1
Shahid Afridi,30,10.79,4.77,14.95,2,46.0,183.6
Shahid Mahboob,4,37.0,4.39,49.2,0,62.4,52.0
Shahzad Altaf,1,7.5,4.42,30.0,0,39.0,13.0
Shaiman Anwar,0,0.0,6.0,0.0,0,4.0,0.4
Shakib Al Hasan,43,23.86,5.49,28.47,1,50.22,300.0
Shane Bond,30,16.15,3.48,24.65,1,55.38,147.4
Shane Lee,1,6.25,4.46,9.0,0,28.5,19.0
Shane Thomson,5,22.93,4.81,25.6,0,51.0,42.3
Shane Warne,32,18.36,3.93,30.01,0,57.47,162.5
Shane Watson,9,16.05,4.91,16.45,0,32.85,108.9
Shannon Gabriel,2,8.17,8.46,7.0,0,41.0,20.3
Shapoor Zadran,10,26.17,5.18,31.0,0,51.0,51.0
Shardul Thakur,2,30.0,5.9,30.0,0,34.0,17.0
Shariz Ahmad,0,0.0,6.5,0.0,0,12.0,2.0
Shaukat Dukanwala,6,12.95,4.64,18.0,1,49.5,33.0
Shaun Pollock,31,13.47,3.49,25.62,1,52.06,268.6
Shaun Tait,34,19.88,5.44,21.81,0,45.5,136.3
Sheldon Cottrell,12,18.11,5.67,18.67,0,44.67,67.0
Shem Ngoche,1,23.0,7.17,30.0,0,42.0,14.0
Shingi Masakadza,0,0.0,7.33,0.0,0,36.0,6.0
Shivnarine Chanderpaul,0,0.0,3.0,0.0,0,12.0,2.0
Shoaib Akhtar,30,26.09,5.07,28.03,0,49.61,148.5
Shoaib Malik,2,3.8,7.17,4.8,0,15.6,13.0
Shoriful Islam,10,21.12,6.28,18.94,0,48.5,64.0
Shubman Gill,0,0.0,5.5,0.0,0,12.0,2.0
Sidath Wettimuny,0,0.0,4.75,0.0,0,9.0,3.0
Sikandar Raza,2,11.83,4.94,15.0,0,40.0,40.0
Sikander Bakht,7,10.0,2.81,29.5,0,61.5,41.0
Simon O'Donnell,9,20.54,4.42,28.64,0,52.0,60.4
Sohaib Maqsood,1,8.0,5.6,15.0,0,18.0,6.0
Sohail Khan,12,32.29,6.02,29.43,1,53.0,61.5
Sohrawordi Shuvo,1,33.0,3.3,60.0,0,60.0,10.0
Solomon Mire,2,4.88,7.46,6.0,0,30.0,20.0
Somachandra De Silva,10,16.2,4.59,24.36,0,60.0,110.0
Soumya Sarkar,4,13.08,5.46,13.0,0,31.5,21.0
Sourav Ganguly,10,8.26,4.91,10.31,0,28.62,62.0
Sreesanth,0,0.0,8.55,0.0,0,39.0,13.0
Sridharan Jeganathan,4,33.5,4.27,48.0,0,58.0,29.0
Srinivas Venkataraghavan,0,0.0,3.01,0.0,0,72.0,72.0
Stanley De Silva,2,9.0,2.62,18.0,0,60.0,20.0
Stephen Boock,4,10.62,5.04,14.0,0,49.0,32.4
Stephen Fleming,1,8.0,4.0,12.0,0,12.0,2.0
Stephen Peall,1,5.75,5.2,15.0,0,34.5,23.0
Steve Elworthy,10,13.94,3.72,25.5,0,54.0,72.0
Steve Tikolo,15,14.72,5.66,17.6,0,33.71,95.3
Steve Waugh,27,15.65,4.7,20.48,0,39.96,172.3
Steven Finn,8,5.72,10.31,7.5,1,43.5,29.0
Steven Lubbers,5,26.25,5.22,33.0,0,54.0,36.0
Steven Smith,2,5.56,7.16,7.33,0,22.0,33.0
Stuart Broad,10,13.93,5.79,17.8,0,47.4,78.6
Stuart Clark,1,19.0,2.37,48.0,0,48.0,8.0
Stuart Law,0,0.0,4.92,0.0,0,15.0,5.0
Stuart Matsikenyeri,0,0.0,6.25,0.0,0,9.0,3.0
Stuart Thompson,3,40.75,6.7,39.0,0,48.0,16.0
Subroto Banerjee,1,22.5,6.54,21.0,0,39.0,13.0
Sudath Pasqual,0,0.0,4.28,0.0,0,28.0,4.4
Sulieman Benn,14,10.84,5.49,14.08,0,51.22,76.5
Sultan Zarawani,4,26.7,5.82,27.6,0,44.4,37.0
Sunil Dhaniram,4,15.89,5.62,24.67,0,54.0,27.0
Suraj Randiv,0,0.0,4.77,0.0,0,54.0,9.0
Suranga Lakmal,7,20.64,6.36,18.57,0,44.29,51.4
Suresh Raina,2,10.4,4.8,14.4,0,20.4,17.0
Suryakumar Yadav,0,0.0,8.5,0.0,0,12.0,2.0
Syed Abid Ali,6,19.17,3.19,36.0,0,72.0,36.0
Syed Rasel,8,25.0,3.75,36.0,0,53.14,62.0
Tabraiz Shamsi,9,21.17,5.86,21.42,0,55.83,55.5
Tafadzwa Kamungozi,1,11.33,7.29,16.0,0,42.0,21.0
Tahir Naqqash,1,49.0,6.12,48.0,0,48.0,8.0
Taijul Islam,0,0.0,5.8,0.0,0,60.0,10.0
Talha Jubair,0,0.0,8.88,0.0,0,30.0,10.0
Tanzim Hasan Sakib,3,26.67,8.0,20.0,0,60.0,10.0
Tapash Baisya,2,9.6,7.55,13.2,0,29.8,24.5
Taskin Ahmed,14,18.64,5.89,20.15,0,48.92,106.0
Tauseef Ahmed,5,34.5,3.83,50.0,0,60.0,60.0
Tawanda Mupariwa,3,25.4,5.13,32.4,0,56.4,47.0
Tendai Chatara,10,19.5,5.74,20.0,0,59.67,59.4
Tertius Bosch,0,0.0,7.6,0.0,0,15.0,2.3
Tharindu Kaushal,0,0.0,4.16,0.0,0,36.0,6.0
Thilan Samaraweera,1,4.0,2.0,12.0,0,12.0,2.0
Thisara Perera,14,23.28,6.09,23.19,0,42.31,112.5
Thomas Odoyo,23,15.14,4.85,20.29,0,42.25,169.0
Tillakaratne Dilshan,18,12.2,4.66,16.52,0,27.59,100.7
Tim Bresnan,9,26.37,4.93,34.29,1,54.0,63.0
Tim May,4,4.92,5.18,9.0,0,44.0,44.0
Tim Southee,41,23.88,5.64,25.24,1,53.27,195.2
Tim de Leede,14,11.7,6.35,13.48,0,38.93,90.5
Tinashe Panyangara,5,31.31,7.32,24.25,0,50.38,66.7
Tito Odumbe,4,4.2,5.57,4.7,0,20.2,16.5
Tom Cooper,4,5.33,6.21,7.17,0,27.33,27.2
Tom Hogan,6,32.88,3.64,52.5,0,70.5,47.0
Tom Moody,14,10.97,4.74,16.44,0,38.25,102.0
Tony Greig,6,6.75,2.81,16.0,0,62.0,31.0
Tony Opatha,5,8.77,4.27,11.27,0,50.6,42.1
Tony Suji,1,6.43,5.72,6.0,0,27.43,32.0
Travis Friend,0,0.0,6.5,0.0,0,12.0,2.0
Travis Head,2,2.1,4.46,3.0,0,25.2,21.0
Trent Boult,53,26.05,4.92,30.93,1,56.9,275.0
Trent Johnston,16,35.08,5.18,39.17,0,46.83,93.4
Trevor Chappell,4,33.34,5.01,41.34,0,59.0,19.0
Trevor Laughlin,2,19.0,4.14,27.5,0,55.0,9.1
Tyson Gordon,0,0.0,2.0,0.0,0,3.0,0.3
Umar Bhatti,1,14.67,4.88,18.0,0,44.67,21.8
Umar Gul,18,14.15,3.96,22.11,0,45.55,82.9
Umesh Yadav,18,15.95,5.18,18.77,0,48.25,63.8
Upul Chandana,0,0.0,8.36,0.0,0,24.0,8.0
Usama Mir,4,42.62,7.05,34.5,0,52.5,35.0
Vanburn Holder,5,10.75,3.21,21.17,0,47.5,31.4
Vasbert Drakes,16,17.57,4.04,26.97,2,51.83,51.5
Venkatapathy Raju,13,22.6,4.56,35.0,0,52.9,88.1
Venkatesh Prasad,17,20.89,4.49,26.67,1,55.64,129.5
Vernon Philander,4,8.0,4.75,12.38,0,42.75,28.3
Vic Marks,13,17.97,3.14,35.49,1,66.86,78.0
Vijay Shankar,2,11.0,4.12,16.0,0,32.0,5.2
Vikramjit Singh,0,0.0,7.92,0.0,0,14.0,7.0
Vince Hogg,0,0.0,3.13,0.0,0,45.0,15.0
Vinothen John,4,19.55,4.89,22.0,0,54.18,99.2
Virat Kohli,1,2.6,5.47,3.6,0,7.8,6.3
Virender Sehwag,4,2.83,3.7,5.0,0,21.33,32.0
Viv Richards,10,6.64,4.64,9.29,0,35.57,83.0
Wahab Riaz,35,25.58,5.63,27.98,1,50.0,165.6
Waqar Younis,22,24.24,4.98,29.59,0,50.82,92.7
Warren Stott,3,16.0,4.0,24.0,0,72.0,12.0
Wasim Akram,55,14.01,4.0,21.53,1,54.08,323.1
Wasim Haider,1,12.0,3.28,20.0,0,38.0,19.0
Wasim Raja,1,1.4,5.13,8.4,0,16.4,13.4
Wavell Hinds,7,13.79,4.7,16.75,0,29.75,19.5
Wayne Daniel,3,3.11,5.51,6.0,0,48.0,24.0
Wayne Larkins,0,0.0,10.5,0.0,0,12.0,2.0
Wayne Parnell,1,42.5,5.22,27.0,0,39.0,13.0
Willie Watson,19,27.92,4.4,36.57,0,56.57,132.0
Winston Benjamin,14,17.92,4.11,26.0,0,56.77,122.2
Winston Davis,8,12.86,3.66,16.2,1,65.4,54.3
Xavier Doherty,0,0.0,8.57,0.0,0,42.0,7.0
Yasir Shah,0,0.0,7.5,0.0,0,48.0,8.0
Younis Khan,0,0.0,5.5,0.0,0,21.0,7.0
Yusuf Pathan,1,8.17,4.92,8.0,0,35.0,35.0
Yuvraj Singh,20,11.16,4.99,13.12,1,39.64,92.3
Yuzvendra Chahal,12,24.28,6.02,27.0,0,55.5,74.0
Zaheer Abbas,2,6.8,3.77,13.2,0,23.6,19.4
Zaheer Khan,44,16.8,4.52,24.41,0,51.87,197.3
Zulfiqar Ali,4,30.67,4.69,32.0,0,70.0,35.0
